日期,日产气量,日产水量,井底流压,地层压力,累积产气量/104m3
2014/6/28,7.375528607,0.409957709,73.86364322,75.72387328,7.375528607
2014/6/29,11.51884468,3.228492417,73.9260213,75.7168925,18.89437328
2014/6/30,9.780837936,2.217532958,73.90495974,75.70084109,28.67521122
2014/7/1,10.00873882,3.199300886,73.90753957,75.68721278,38.68395004
2014/7/2,10.39944034,2.398044766,73.91209017,75.67326806,49.08339038
2014/7/3,10.11493923,1.970804855,73.90876053,75.65878024,59.19832961
2014/7/4,9.803938026,2.045684952,73.90521873,75.64468996,69.00226763
2014/7/5,10.15113937,2.287908843,73.90917944,75.63103405,79.153407
2014/7/6,1.056304097,0.115495672,73.8472771,75.61689569,80.2097111
2014/7/7,0,0,73.84726104,75.61675164,80.2097111
2014/7/8,0,0,74.07420273,75.61675164,80.2097111
2014/7/9,0,0,74.22545647,75.61675164,80.2097111
2014/7/10,0,0,74.32267395,75.61675164,80.2097111
2014/7/11,0,0,74.38747819,75.61675164,80.2097111
2014/7/12,0,0,74.46307567,75.61675164,80.2097111
2014/7/13,0,0,74.517069,75.61675164,80.2097111
2014/7/14,0,0,74.56026072,75.61675164,80.2097111
2014/7/15,0,0,74.59265277,75.61675164,80.2097111
2014/7/16,0,0,74.62504342,75.61675164,80.2097111
2014/7/17,0,0,74.65743254,75.61675164,80.2097111
2014/7/18,0,0,74.67902451,75.61675164,80.2097111
2014/7/19,0,0,74.70061585,75.61675164,80.2097111
2014/7/20,0,0,74.71141124,75.61675164,80.2097111
2014/7/21,0,0,74.75459129,75.61675164,80.2097111
2014/7/22,0,0,74.76538589,75.61675164,80.2097111
2014/7/23,0,0,74.76538589,75.61675164,80.2097111
2014/7/24,7.145127713,0,74.78387348,75.61675164,87.35483882
2014/7/25,13.24975139,2.77001988,65.01417766,75.60928841,100.6045902
2014/7/26,12.5045485,2.199636113,65.03043727,75.59237453,113.1091387
2014/7/27,12.46954836,2.202436124,64.82162793,75.57496257,125.5786871
2014/7/28,12.16274717,4.976980213,64.16977098,75.55760116,137.7414342
2014/7/29,12.67954918,1.60563606,64.50673341,75.54066865,150.4209834
2014/7/30,16.98716589,1.471026723,60.35511759,75.52301849,167.4081493
2014/7/31,1.770806868,0,72.34326703,75.49937497,169.1789562
2014/8/1,0,0,73.11189203,75.49913879,169.1789562
2014/8/2,0,0,73.45804597,75.49913879,169.1789562
2014/8/3,0,0,73.67430358,75.49913879,169.1789562
2014/8/4,0,0,73.82564372,75.49913879,169.1789562
2014/8/5,0,0,73.92291645,75.49913879,169.1789562
2014/8/6,0,0,74.03098139,75.49913879,169.1789562
2014/8/7,0,0,74.09581238,75.49913879,169.1789562
2014/8/8,0,0,74.171441,75.49913879,169.1789562
2014/8/9,0,0,74.22545647,75.49913879,169.1789562
2014/8/10,0,0,74.25786379,75.49913879,169.1789562
2014/8/11,0,0,74.30107121,75.49913879,169.1789562
2014/8/12,0,0,74.33347505,75.49913879,169.1789562
2014/8/13,0,0,74.36587744,75.49913879,169.1789562
2014/8/14,0,0,74.39827831,75.49913879,169.1789562
2014/8/15,0,0,74.43067775,75.49913879,169.1789562
2014/8/16,0,0,74.45227654,75.49913879,169.1789562
2014/8/17,0,0,74.47387466,75.49913879,169.1789562
2014/8/18,0,0,74.49547217,75.49913879,169.1789562
2014/8/19,0,0,74.50627069,75.49913879,169.1789562
2014/8/20,0,0,74.52786716,75.49913879,169.1789562
2014/8/21,0,0,74.54946302,75.49913879,169.1789562
2014/8/22,0,0,74.54946302,75.49913879,169.1789562
2014/8/23,0,0,74.56026072,75.49913879,169.1789562
2014/8/24,0,0,74.57105826,75.49913879,169.1789562
2014/8/25,0,0,74.59265277,75.49913879,169.1789562
2014/8/26,0,0,74.61424668,75.49913879,169.1789562
