日期,产气量(104m3/d),产水量/m3/d,井底流压/MPa,地层压力/MPa
2013/4/16,26.43,0,50.38,71.135
2013/4/17,15.4,0,51.63,65.37
2013/4/18,9.7,0,31.3,55.62
2013/4/19,7,0,25.42,50.34
2013/4/20,3.5,0,16.1,40.4
